Title,Abstract,University,Country,Index_authors,Keywords,PublicationName,Publisher,Subject_Area,Subject_Area_CodeType,Citation_Type,Citation_Number,Reference_number,Year
Decomposition of growth rates for the Russian economy,"© 2018 Non-profit partnership ""Voprosy Ekonomiki"".In this paper, we present a methodology of GDP growth rate decomposition adapted for the Russian economy. We calculated the indicators for structural unemployment (NAWRU) and total factor productivity in Russia. We estimated the structural, foreign trade and cyclicalcomponents of GDP growth rates under various macroeconomic scenarios for the period from 2018 through 2024. The study shows that a significant contribution to growth rates for the period 2018 through 2024 will be made by the sum of the business cycle and random shock component, which, combined with the revitalization of investments in 2017, may indicate the beginning of a new cycle of economic growth in Russia. In the scenarios reviewed, the contribution from the foreign trade component will be negative from 2018 to 2024. The calculations indicate further stagnation of structural growth rates in the Russian economy from 2018 to 2024 at the level of approximately 1.5 p.p. in all of the basic macroeconomic scenarios reviewed. This points to the inexpediency in postponing structural reforms to create conditions for Russia's economy to achieve growth rates that exceed world averages.","['Russian Presidential Academy of National Economy and Public Administration', 'Russian Foreign Trade Academy', 'Gaidar Institute for Economic Policy']",['Russian Federation'],"['Drobyshevsky S.', 'Idrisov G.', 'Sinelnikov-Murylev S.', 'Kaukin A.', 'Pavlov P.']","['Business cycle', 'Economic growth', 'NAWRU', 'Terms of trade', 'Total factor productivity']",Russian Journal of Economics,Non-profit partnership 'Voprosy Ekonomiki',"['Economics, Econometrics and Finance (all)']",['ECON'],Article,3,21.0,2018
Preparation and characterization of the silk fibroin 3D scaffolds with porous and interconnected structure,"Copyright © 2018 Textile Bioengineering and Informatics SocietySilk fibroin (SF) is wildly used in the field of biomedical science. Considering the contradiction between suitable pore size and outstanding mechanical properties, this research focused on the topic of preparing the 3D scaffolds with large pore sizes and high interconnectivity. For preparing the silk fibroin 3D scaffold samples, three kinds of porogens were applied in two methods which paraffin spheres were used in freeze-drying. Sodium chloride (NaCl) and sodium carbonate (Na2CO3) were used in leaching respectively. Different pore size of porogens were used to control the pore size and porosities of prepared scaffold samples. Some basic properties of scaffold samples were characterized including surface morphology, chemical structure, porosity and mechanical performance. The best porosity of sample reached to 93% in the research.","['The University of Manchester', 'Soochow University']","['China', 'United Kingdom']","['Wang X.', 'Song J.', 'Li J.']","['Paraffin spheres', 'Porous scaffold', 'Silk fibroin', 'Tissue engineering']",Journal of Fiber Bioengineering and Informatics,Global Science Press,"['Computer Science (all)', 'Materials Science (all)']","['MATE', 'COMP']",Article,0,27.0,2018
Force analysis of the support belt and pregnant woman for relieving the pregnancy-related waist pain,"Copyright © 2018 Textile Bioengineering and Informatics SocietyResearching the waist support belt becomes more important. It’s said that the waist support belt can help pregnant women to relieve pregnancy-related pain, but the function of support belt couldn’t be unanimously identified by studies or clinical trials’ confirm at present. In this paper, the force analysis model is established, aiming to detect the role of the waist support belt. Aiming at the dressing effect is not prominent, when pregnant women just wear the waist support belt. In the paper, analyzing the pain causes of the pregnant women’s waist by the theory of mechanics is the basis of research. Through force analysis, it is effective to know how the support belt plays the role. Then, data by pressure test is used to understand the effect, if the support belt can relieve the waist pain of pregnant women. The result is used to verify the results of force analysis. And the data of pressure can explain its functionality. It provides a evaluation method of waist support belt through force analysis and pressure test.","[""Xi'an Polytechnic University""]",['China'],"['Zhang X.', 'Qi J.', 'Wu L.', 'Ying B.-A.', 'Kang X.-L.']","['Force Analysis', 'Pressure Test', 'Relieve the Pregnancy-related Waist Pain', 'The Support Belt']",Journal of Fiber Bioengineering and Informatics,Global Science Press,"['Computer Science (all)', 'Materials Science (all)']","['MATE', 'COMP']",Article,2,19.0,2018
Exploration and Experimental Research on the Mechanism of Electromagnetic Driven Weft Insertion ?,"© 2018 Global Science Press. All rights reserved.In view of the current situation that there exists big impact and friction between the gripper and the guide in the weft insertion mode of the existing gripper loom, this paper puts forward the idea of the electromagnetic-driven two-way weft insertion on gripper in order to improve the energy conversion efficiency, reduce the friction and mechanical vibration. Electromagnetic drive is used as the basic method to study the projecting/braking of the shuttle, and it uses the principle of electromagnetic levitation as the basic principle of the shuttle’s weft insertion. In this paper, a basic model of two-way insertion is established. After ANSYS simulation and experimental analysis, the speed of electromagnetic driving can reach 30 m/s. In the electromagnetic levitation stage, PWM modulator and DC power regulation were respectively used to conduct the levitation control experiment. HW101 hall sensor was used to judge the levitation state, and with the assistance of other Operational Amplifier, the requirements of electromagnetic levitation were completed.",['Wuhan Textile University'],['China'],"['Zhang C.', 'Cui X.-Z.', 'Xiao-Guang W.', 'Xiu-Sheng X.', 'Cheng-Jun Z.']","['Electromagnetic Levitation', 'Gripper Loom', 'Shuttle Projecting', 'Weft Insertion']",Journal of Fiber Bioengineering and Informatics,Global Science Press,"['Computer Science (all)', 'Materials Science (all)']","['MATE', 'COMP']",Article,0,15.0,2018
Classification of Female Apparel using Convolutional Neural Network,"Copyright © 2018 Textile Bioengineering and Informatics SocietyWith the vigorous development of clothing e-commerce, the amount of clothing image data on the internet has increased dramatically. A tedious effort was required to manually label and classify the semantic attributes of clothing images. Manual marking is time-consuming and laborious, so a method of automatic classification using convolutional neural networks was studied. In this paper, a female cloth dataset consisting of 10 types of female clothing was built. Convolutional Neural Network (CNN) was employed to learn the feature vectors for each type. Five different types of architectures, including ResNet50, Inception-v3, and VGG-19, AlexNet, and FashionNet were used for performance comparison. Experimental results have shown that Inception-v3 possesses the highest accuracy (98.07% for training and 96.91% for testing) in clothing classification compared with other methods.","['Donghua University', ""Ministry of Education of the People's Republic of China""]",['China'],"['Zhong Y.-Q.', 'Li Q.-Q.', 'Wang X.']","['Convolutional Neural Network', 'Deep Learning', 'Female Clothing Image', 'Image Classification']",Journal of Fiber Bioengineering and Informatics,Global Science Press,"['Computer Science (all)', 'Materials Science (all)']","['MATE', 'COMP']",Article,2,20.0,2018
Effect of washing and drying conditions on dimensional change in various articles of knitted clothing ⋆,"© 2018 Textile Bioengineering and Informatics SocietyWe investigated the effect of washing and drying conditions on dimensional change in various articles of knitted clothing, taking into account drying temperature, temperature change during drying, external force at dehydration, external force during drying, and humidity during drying. We immersed samples in water at 25 ± 2 ◦C for 30 min, then dried them in a chamber at 40, 60, and 80 ◦C, and at 5% relative humidity (RH). We also investigated the effects of increasing the temperature from 40 to 60 ◦C and decreasing it from 60 to 40 ◦C. After dehydration, we dried the samples using a roller and a front-loader washing and drying machine at various humidity levels. We measured dimensional changes in the samples before and after drying. We investigated five samples of knitted clothing: men’s socks, women’s socks, men’s underwear, women’s underwear, and women’s t-shirts. We detected no difference in the dimensional change ratio in the cotton or polyurethane underwear and t-shirts when the drying temperature was varied. However, the dimensional change ratio of acrylic-containing men’s socks varied depending on the drying temperature. When drying acrylic-containing men’s socks from 40 to 60 ◦C, the dimensional change ratio was larger than under other drying conditions. A lower temperature in the final drying stage could effectively reduce the shrinkage of socks made from acrylic, polyester, and polyurethane. The deformation due to external force during dehydration affected dimensional change. The external force during drying also greatly affected dimensional change in the knitted clothing. The humidity and drying time did not affect dimensional change in the knitted cotton clothing.","['Shinshu University', 'Panasonic Corporation']",['Japan'],"['Kim K.O.', 'Hashimoto K.', 'Takatera M.', 'Hashimoto Y.']","['Drying temperature', 'Knitted clothing', 'Knitted fabric', 'Shrinkage']",Journal of Fiber Bioengineering and Informatics,Global Science Press,"['Computer Science (all)', 'Materials Science (all)']","['MATE', 'COMP']",Article,1,15.0,2018
Formation of sects in a religious market,"© 2018 Non-profit partnership ""Voprosy Ekonomiki"".This paper is an extension of the recent work by the authors where a simplifying assumption of no costs of entry to the religious market was set. In the present paper, the religious market is regulated in the sense that a sect in order to establish itself in a market has to bear costs of entry. In the case of one official denomination the strict sect attracts less flock, and the monopoly church will acquire more church-goers and even marginally religious people will hesitate between joining the church and staying nonreligious. In case of prohibitively high costs the sect will shrink to zero and the church will take control over almost all population with the remaining small group of nonbelievers. A comparative statics problem in the case of the two official churches was also considered. In stage one of the game these churches choose their position in the strictness interval with the subsequent emergence of sects. The more costly is entry the less populated will be the strict sect and even the moderate sect will turn more liberal with the loss of some of its members.",['HSE University'],['Russian Federation'],"['Levin M.', 'Bukin K.']","['Non-religious community', 'Religious market', 'Sect', 'Strictness of a denomination']",Russian Journal of Economics,Non-profit partnership 'Voprosy Ekonomiki',"['Economics, Econometrics and Finance (all)']",['ECON'],Article,1,19.0,2018
Glaucon’s Question Ignored Republic 519a-521b,"© 2018, Center for Hellenic Studies. All rights reserved.At Republic 519a-521b, Socrates claims that each guardian must return from his/her contemplation to run Kallipolis. Quite reasonably, Glaucon objects that they would seem to be making the guardian’s life worse than it could be. This objection is often referred to as “the happy philosopher problem”. But rather than answering Glaucon, Socrates admonishes him that their focus is instead on the role of the class of guardians and the happiness of the whole city. It turns out this admonition is the last in a string of similar admonitions that Socrates gives to his interlocutors. This paper examines Socrates’ admonition to Glaucon, and its relation to Socrates’ other warnings to focus on the happiness of the city. By examining these admonitions, we can defend Socrates’ dismissal of Glaucon’s question and the happy philosopher problem at 519d. The paper concludes by examining a strategy for interpreting Socrates’ reluctance to engage Glaucon’s question.",['Berea College'],['United States'],['Butler J.'],,Akropolis,Center for Hellenic Studies,['Classics'],['ARTS'],Article,0,28.0,2018
Democritus on being and ought: Some remarks on the existential side of early greek atomism,"© 2018, Center for Hellenic Studies. All rights reserved.According to Democritus, anthropogeny is a microcosmic consequence within the process of cosmogony. However, we are unfamiliar with that which we in fact are, i.e. ἄτομα καὶ κενόν. This poses an existential problem: we do not know what we are and thus, we do not know what to do. To learn what to do, we first need to understand what we actually are. Physics is predeterminant for ethics. From physics we learn to do that which promotes a harmonious ordering of our atoms. We have to re-shape our atomic structure, we have to create a new nature, and thus achieve cheerfulness. After understanding our Being, we can understand our Ought. Democritus is the first Greek thinker who explains to us what our nature is and who, from our being, derives an ought. His atomism thus implies an existentialism.",,,['Freter B.'],,Akropolis,Center for Hellenic Studies,['Classics'],['ARTS'],Article,0,55.0,2018
Raising an athlete for christ: Saint john chrysostom and education in Byzantium,"© 2018, Center for Hellenic Studies. All rights reserved.This article examines the homily titled Address on Vainglory, and the Right Way for Parents to Bring up their Children, concentrating upon the educational vision it expresses. The text is attributed to John Chrysostom, Christian saint and fourth century Patriarch of Constantinople. Uncertainty regarding the manuscript’s authenticity led to the exclusion of “Address on Vainglory” from most collections of John Chrysostom’s writings, which had seminal influence in a context when the church was united, and the homily has consequently received very limited attention. Chrysostom earned the epithet “The Golden Mouthed” primarily by virtue of his training in rhet-oric and his ability to translate the classical sources that he read into his own, Christian, context. He argues that education must not only cultivate all the faculties of the student’s mind, but also prepare the child to live and act ethically in the world. Chrysostom reconfigures this argument us-ing the striking imagery of an Athlete for Christ, who cultivated not only the faculties of his mind, but also exercised those of the soul.",['Queen’s University'],['Canada'],['Christou T.M.'],"['Byzantium', 'Curriculum', 'History of education', 'Patristics', 'Religion']",Akropolis,Center for Hellenic Studies,['Classics'],['ARTS'],Article,1,13.0,2018
Productivity effects of the ownership concentration in polish employee–owned companies,"© 2018, Institute of Economic Research. All rights reserved.Research background:The conducted empirical research on the influence of the degree of ownership concentration in the employee–owned companies on their sales revenues thematically fits into the issue of efficiency of the direct privatisation method, in particular giving a state–owned enterprise for use against payment. Purpose of the article: The main goal of this article is to verify the research hypothesis stating that in employee–owned companies an increase in the degree of ownership concentration leads to an increase in sales revenues. Methods: The empirical studies were carried out on a sample of 15 employee-owned companies from Mazowieckie Province, which concluded the agreement of giving a state– owned enterprise for use against payment from 2000 to 2004 and using the data from financial statements handed in by these entities to the National Court Register for a ten–year period after the privatisation year. The verification of research hypothesis was based on the estimation of a Cobb–Douglas production function by Ordinary Least Squares method for two variants, differing in the way of measuring the degree of ownership concentration in investigated employee–owned companies. Findings & Value added: The research hypothesis formulated in this paper was verified negatively as the increase in the degree of ownership concentration in employee–owned companies caused the decrease in their sales revenues. The conducted empirical research also suggests that sales revenues in examined employee–owned companies peak at some intermediate/optimal level of ownership concentration.",['University of Lodz'],['Poland'],['Matuszewska-Pierzynka A.'],"['Direct privatisation', 'Employee–owned company', 'Ownership structure', 'Privatisation process', 'Productivity']",Equilibrium. Quarterly Journal of Economics and Economic Policy,Institute of Economic Research,"['Economics and Econometrics', 'Economics, Econometrics and Finance (miscellaneous)']",['ECON'],Article,4,54.0,2018
Nicknames among greeks of the archaic and classical periods: Preliminary thoughts of a general theoretical nature1,"© 2018, Center for Hellenic Studies. All rights reserved.This article is the first in a series devoted to nicknames of well-known people in Greece of pre-Hellenistic times. In it general considerations are primarily expressed about the role of nicknames in human societies (including ancient Greek), relations of nicknames to personal names and divine epithets, terminology of nicknames among the Greeks, and the possible reasons for not very broad development of the practice of nicknaming in Greece during this period. A nickname is a fundamental phenomenon of the history of culture, and its real significance has not yet been appreciated. Nicknames in particular served as means of distinguishing individuals within any society. The names of the ancient Greeks had originally resembled nicknames as much as possible. Onomastic units in Greek poleis were mostly meaningful. Nicknames can be assigned—not from a semantic but rather from an emotional point of view— to three basic types. We deal with nicknames of a) a positive, exalted character (“Olympian” as to Pericles); b) a negative, pejorative character (“Coalemos”—“Simpleton” as to Cimon the Elder); c) a neutral character—those that show a certain characteristic appearance of an individual (e.g., “One-Eyed”), or some kind of memorable detail of his biography (Hipponicus the “Ammon” in Athens at the turn of the 6th and 5th centuries BC). Another interesting thing took place in pre-Hellenistic times. Nicknames were more often con-nected not with politicians and state figures but with people from cultural spheres—poets, phi-losophers.",['Russian Academy of Sciences'],['Russian Federation'],['Surikov I.E.'],,Akropolis,Center for Hellenic Studies,['Classics'],['ARTS'],Article,2,57.0,2018
Variation in wh-expressions asking for a reason,"© John Benjamins Publishing CompanyIn this paper, I will discuss some types of variation in wh-expressions asking for reasons such as why, what…for and how come with special attention to their base-generated positions in the framework of the cartography of syntactic structures. I will first discuss why and what…for to illustrate variation in the base-generated position of wh-expressions asking for reasons. I will next explore a new dimension in the cartography of syntactic structures by discussing some variation in the use of how come and the complementizer that among speakers.",['Kanda University of International Studies'],['Japan'],['Endo Y.'],"['Come', 'CP', 'Criterial Freezing', 'How', 'ReasonP', 'What for', 'Why']",Linguistic Variation,John Benjamins Publishing Company,['Food Science'],['AGRI'],Article,4,26.0,2017
"Using a community vote for wind energy development decision-making in King Island, Tasmania","© 2018 by the Regents of the University of California.In 2012, a large scale wind energy project was proposed for development in King Island, Tasmania, Australia. The project proponents adopted what they described as a 'best practice' approach to community engagement; an approach expected to achieve positive outcomes for developer and community by maximising community involvement in decision-making, limiting social conflict, and enhancing the potential of achieving the social licence to operate. Despite this, the community experience during the time of the proposal was one of conflict and distress, and the proposal was eventually cancelled due to exogenous economic factors. This case study explores a key element of the engagement process-holding a community vote-that caused significant problems for people and process. The vote appeared to be a democratic means to facilitate community empowerment in the decision-making process. However, in this study, we show that the vote resulted in an increase in conflict and polarisation, challenged the legitimacy of the consultative process and credibility of the proponents, and ultimately led to legal actions taken by opponents against the proponent. Factors including voter eligibility, the benchmark for success of the vote, campaigning, and responses to the outcome of the vote are examined to demonstrate the complexity of decision-making for renewable energy and land use change more generally.","['The University of Queensland', 'Commonwealth Scientific and Industrial Research Organisation', 'The Australian National University']",['Australia'],"['Colvin R.M.', 'Lacey J.', 'Witt G.B.']",,Case Studies in the Environment,University of California Press,"['Education', 'Environmental Science (all)', 'Renewable Energy, Sustainability and the Environment']","['SOCI', 'ENVI', 'ENER']",Article,1,27.0,2018
Sales range and innovative activity in the manufacturing system of poland,"© 2018, Institute of Economic Research. All rights reserved.Research background:In the literature, there is a discussion on the importance of the spatial distance from the user in the context innovation activity. However, most of this kind of studies concentrate on exporting enterprises and compare them to domestic ones. Exporting activity is very important for catching-up countries, because of technology transfer in its background. Purpose of the article: The aim of this paper is to determine whether the innovative activity in Poland’s manufacturing system is a consequence of close interactions (local and region-al), or perhaps conditioned by the imperative of functioning on the national and international market. The main hypothesis was that on the current development level of Poland, the relationship between the range of sales and innovation activities are different from those in the more developed countries. Methods: Empirical studies was created in 2006–2012 as a result of the systematic collec-tion of questionnaires filled by manufacturing enterprises in Poland from all regions (5209 correct fulfilled questionnaires). Methodical analysis was based on the theory of probability — probit modeling, because dependent variables were binary (0 or 1). Findings & Value added: Local and regional space is not stimulating innovation activity in opposite to national one. High intensity observed only when the company has been working on the international market. It means that the industry maturity level in Poland is good enough for creating a domestic innovation environment. This kind of an aggregation level should be stimulated by the government innovation policy.",['Uniwersytet Zielonogórski'],['Poland'],['Swiadek A.'],"['Country', 'Innovation', 'Manufacturing', 'Sale range', 'System']",Equilibrium. Quarterly Journal of Economics and Economic Policy,Institute of Economic Research,"['Economics and Econometrics', 'Economics, Econometrics and Finance (miscellaneous)']",['ECON'],Article,6,24.0,2018
New additions to the exotic flora of Chile Nuevas adiciones a la flora introducida de Chile,"© 2018, Instituto de Botanica Darwinion. All rights reserved.Fumaria muralis (Papaveraceae) and Lathyrus latifolius (Leguminosae) are recorded for the first time in Chile as alien species. Detailed pictures of both species are provided, together with keys to the species of Fumaria and Lathyrus in Chile and a map with the location of the new records.",['Pontificia Universidad Católica de Valparaíso'],['Chile'],"['Moreira-Munoz A.', 'Calvo J.']","['Chile', 'Exotic flora', 'Fumaria', 'Lathyrus', 'Valparaíso']",Darwiniana,Instituto de Botanica Darwinion,['Plant Science'],['AGRI'],Article,1,20.0,2018
Trade interdependence between russia vs. The european union and china within the context of the competitiveness of the Russian economy,"© 2018, Institute of Economic Research. All rights reserved.Research background:The position of a country in the international division of labour is determined by the competitiveness of its trade, the structure of which may both reveal and perpetuate the comparative advantages possessed. This is particularly true for Dutch disease economies such as Russia. Recently, economic literature has seen a growing interest in the topic of Russia’s economic relations with the European Union and China. This article is aimed at being the Author’s contribution to this discussion. Purposes of the article: (1) to discuss the existing trade interdependence between Russia and the EU28, and Russia and China; (2) to try to assess the extent to which the current structure of Russian trade with these two partners corresponds with the competitiveness of the Russian economy. Methods: An in-depth analysis of Russia-EU28 and Russia-China trade interdependencies in 2007–2015 has been conducted, with emphasis on the categories of goods within the spectrum from low-to high-technology, according to the OECD classification. Furthermore, in order to analyse Russia’s competitive profile with regard to the same categories of goods, Balassa’s methodology of revealed comparative advantages has been applied. Findings & Value added: In the recent years, a growing importance of China in Russian trade turnover can be observed, being the effect of dynamic growth of Chinese economy, cooling political relations between Moscow and Brussels and the drop in oil prices in international markets. The existing structure of Russian trade with the EU28 and China seems likely to preserve its traditional competitive advantages in the medium-low-technology goods and oil, which, in turn, will only further exacerbate the negative consequences of the so-called Dutch disease affecting the Russian economy.",['Szkola Glówna Handlowa w Warszawie'],['Poland'],['Falkowski K.'],"['China', 'Competitive advantages', 'Competitiveness', 'European Union', 'Russia', 'Trade interdependence']",Equilibrium. Quarterly Journal of Economics and Economic Policy,Institute of Economic Research,"['Economics and Econometrics', 'Economics, Econometrics and Finance (miscellaneous)']",['ECON'],Article,4,53.0,2018
The impact of the diversification of revenues on ngos’ commercialization: Evidence from poland,"© 2018, Institute of Economic Research. All rights reserved.Research background:The commercialization of non-governmental organizations through undertaking an activity based on the commercial sale of services and products is a phenomenon which raises controversy among numerous researchers. Traditionally, NGOs act in a sector of social services to solve problems, such as homelessness, exclusion or social pathologies. They also provide different services which cannot be provided by the market, for instance in education, the healthcare system, culture, or art. Driven by a social mission, NGOs introduce their concepts, strongly relying on fees to perform their activity. They also obtain funds in the form of public donations or payments from private or institutional do-nors. Growing social needs and changes in the governmental policy aimed at reducing so-cial-aid spending have put pressure on NGOs to develop entrepreneurial strategies to gain financial support. Purpose of the article: The aim of the paper is to investigate how particular funding sources affect the probability of non-governmental organizations’ commercialization. Methods: Data for the analyses have been collected from a national survey of Polish nongovernmental organizations. In the analysis of logistic regression, a specially-developed model was used to estimate the probability of NGOs’ commercialization, depending on the selected categories of funding sources. Findings & Value added: An analysis of the results indicates clearly that the likelihood of NGOs’ commercialization slightly decreases as a greater number of private external financial sources is used. In contrast with existing literature, which claims that government funding is crowding out commercial activity, this research finds that, to some extent, public funds positively stimulate the commercialization of NGOs. The contribution of this research is that it introduces the category of internal financing sources of non-profit organizations, which have been overlooked in previous studies. The article provides clear statistical arguments demonstrating that private internal revenues strongly affect the commercialization of the organizations surveyed. The paper is the first to present a model that comprehensively considers the probability of NGOs’ commercialization, including private external and inter-nal, as well as public, sources of funding.",['Poznań University of Economics and Business'],['Poland'],['Mikolajczak P.'],"['Commercialization', 'Financial sources', 'NGOs', 'Revenue diversification']",Equilibrium. Quarterly Journal of Economics and Economic Policy,Institute of Economic Research,"['Economics and Econometrics', 'Economics, Econometrics and Finance (miscellaneous)']",['ECON'],Article,12,47.0,2018
Re-inventing Africa's development: Linking Africa to the Korean development model,"This open access book analyses the development problems of sub-Sahara Africa (SSA) from the eyes of a Korean diplomat with knowledge of the economic growth Korea has experienced in recent decades. The author argues that Africa's development challenges are not due to a lack of resources but a lack of management, presenting an alternative to the traditional view that Africa's problems are caused by a lack of leadership. In exploring an approach based on mind-set and nation-building, rather than unity -which tends to promote individual or party interests rather than the broader country or national interests -the author suggests new solutions for SSA's economic growth, inspired by Korea's successful economic growth model much of which is focused on industrialisation. This book will be of interest to researchers, policymakers, NGOs and governmental bodies in economics, development and politics studying Africa's economic development, and Korea's economic growth model. The Editor(s) (if applicable) and The Author(s) 2019.",,,['Park J.-D.'],,Re-Inventing Africa's Development: Linking Africa to the Korean Development Model,Springer International Publishing,"['Economics, Econometrics and Finance (all)', 'Business, Management and Accounting (all)', 'Social Sciences (all)']","['SOCI', 'BUSI', 'ECON']",Book,5,412.0,
Pursuing the promise of case studies for sustainability and environmental education: Converging initiatives,,"['Yale School of the Environment', 'National Socio-Environmental Synthesis Center (SESYNC)', 'University of Michigan, Ann Arbor']",['United States'],"['Wei C.A.', 'Brown M.', 'Wagner M.']",,Case Studies in the Environment,University of California Press,"['Education', 'Environmental Science (all)', 'Renewable Energy, Sustainability and the Environment']","['SOCI', 'ENVI', 'ENER']",Review,10,30.0,
"Ownership, productivity and firms' life-cycle","© 2018 Universidad de Malaga. All Rights Reserved.Empirical evidence on productivity differences between family owned and nonfamily owned firms is still sparse and reveals conflicting results. Unlike previous studies, we analyse the effect of the firm's life cycle on productivity using a large sample of nonlisted firms. Furthermore, we consider a model with heterogeneity of inputs between the two types of firms and addressing possible endogeneity problems. We conclude that there are no significant differences in productivity between family and non-family firms, for both startup/growth and mature stages of life cycle. Furthermore, labour seems to be the main determinant of family firms' productivity, which is especially evident for firms in the mature stage.",['University of Évora'],['Portugal'],"['Mira N.', 'Galego A.', 'da Silva J.V.']","['Cobb-Douglas production function', 'Endogeneity', 'Family firms', 'Lifecycle', 'Productivity']",European Journal of Family Business,Universidad de Malaga,"['Organizational Behavior and Human Resource Management', 'Business and International Management', 'Business, Management and Accounting (miscellaneous)']",['BUSI'],Article,5,81.0,2018
Epidemiology of animal bite reported at animal bite clinic during 2015-16 at a tertiary care centre of Himachal Pradesh,"© 2018, Indian Association of Preventive and Social Medicine. All rights reserved.Background: One health approach for rabies prevention in humans can be done only by targeting the animal source of the virus. Animal bite is the most common mode of transmission of virus to human being. Objective: to describe the epidemiology of animal bite among those attending the animal bite clinic of a tertiary care center of district Kangra, Himachal Pradesh. Methods: This hospital based descriptive study was carried out from March 2015 through February 2016 at Animal Bite Clinic of Department of Community Medicine, Dr. Rajendra Prasad Govt. Medical College, Tanda, Kangra, Himachal Pradesh. A pre-designed and pre-tested closed ended questionnaire was used. World Health Organization’s category of animal bite was used to categorize the patients. Results: Males outnumbered females and around 30% were below 20 years of age followed by third decade. Majority of victims were students (31%) and in 61.1% the wound was localized in the lower extremities. Dog bite was reported in 86% cases. Stray animal bite resulted in 94.2% of category III bites. More than half of the victims were aware of local remedy to be done after bite and practiced it within 30 minutes of bite. Conclusions: Agent, host and environmental factor of animal bite studied in this study indicate that vaccination of animal, abolishing environment favorable for stray animals and awareness of early management of animal bite cases can lead to goal of elimination of rabies.","['Dr. Radhakrishnan Government Medical College', 'Kangra', 'Shri Lal Bahadur Shastri Government Medical College', 'ESIC Medical College and Hospital']",['India'],"['Singh M.', 'Sood A.', 'Minhas A.', 'Bhardwaj A.K.', 'Raj D.']","['Dog bite', 'Prevention', 'Rabies']",Indian Journal of Community Health,Indian Association of Preventive and Social Medicine,"['Public Health, Environmental and Occupational Health']",['MEDI'],Article,1,23.0,2018
Absolute quantitation of poly(R)-3-hydroxybutyric acid using spectrofluorometry in recombinant Escherichia coli,"© 2018 The Author(s) 2018. Published by Oxford University Press.Poly(R)-3-hydroxybutyric acid (PHB) is a biodegradable natural polymer produced by microorganisms and plants under nitrogen deprivation and physiological stress. Metabolic engineering and synthetic biology approaches are underway to develop strains that can produce PHB and its co-polymers. One of the major limitations to the scaling and success of strain development for biosynthesis of PHB is the absence of fast, accurate, quantitative and scalable methods to estimate PHB in polymer producing cells. In this study, a Nile red-based spectrofluorometric method is developed for absolute quantitation of PHB in recombinant Escherichia coli. The method is a modification of an existing Nile red-based method currently only used for relative quantitation. The two added steps of sonication and ethanol extraction increase the dynamic range of the assay and limit of detection/quantitation. Sonication of PHB standards provides uniform distribution of surface area to volume ratios. This ensures reproducibility and accuracy (lower %relative error) of quantitative staining of granules by Nile red even in a higher dynamic concentration range of 125-1000 μg/ml. Ethanolic extraction of the PHB bound Nile red allows higher recovery and accurate absolute quantitation. To reproduce high recovery and ensure accuracy and precision of the analytical method directly using cells, a protein digestion step was added. This accounted for fluorescence from over-expressed protein and resulted in screening of nonproducers of PHB amongst samples. Thus, the method developed is rapid, accurate, and reproducible, requires low sample volumes and processing compared to other conventional methods. This method is scalable to other PHA's and diverse plastics.",['National Chemical Laboratory India'],['India'],"['Raghunathan A.', 'Ravindranathan S.', 'Rajankar M.P.', 'Rajamohanan P.R.']","['absolute quantitation', 'ethanol extract', 'nile red', 'recombinant Escherichia coli', 'sonication', 'spectrofluorometry']",Biology Methods and Protocols,Oxford University Press,"['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)']","['AGRI', 'BIOC']",Article,5,20.0,2018
An array-based melt curve analysis method for the identification and classification of closely related pathogen strains,"© 2018 The Author(s) 2018. Published by Oxford University Press.PCR-based techniques are widely used to identify disease causing bacterial and viral pathogens, especially in point-of-care or near-patient clinical settings that require rapid results and sample-to-answer workflows. However, such techniques often fail to differentiate between closely related species that have highly variable genomes. Here, a homogenous (closed-tube) pathogen identification and classification method is described that combines PCR amplification, array-based amplicon sequence verification, and real-time detection using an inverse fluorescence fluorescence-resonance energy transfer technique. The amplification is designed to satisfy the inclusivity criteria and create ssDNA amplicons, bearing a nonradiating quencher moiety at the 5-terminus, for all the related species. The array includes fluorescent-labeled probes which preferentially capture the variants of the amplicons and classify them through solid-phase thermal denaturing (melt curve) analysis. Systematic primer and probe design algorithms and empirical validation methods are presented and successfully applied to the challenging example of identification of, and differentiation between, closely related human rhinovirus and human enterovirus strains.",['InSilixa Inc.'],['United States'],"['Gharooni T.', 'Li Y.', 'Zia A.', 'Schoolnik G.', 'Hassibi A.', 'Bolouki S.', 'Van T.', 'Sinha R.', 'Manickam A.', 'Ebert J.', 'Johnson K.A.', 'Anemogiannis A.', 'Mazarei G.', 'Naraghi-Arani P.', 'Kuimelis R.G.', 'Jirage K.', 'Mantina P.', 'Pei L.']","['enterovirus', 'FRET', 'inverse fluorescence', 'melt curve', 'microarray', 'pathogen classification', 'point-of-care', 'quencher', 'rhinovirus']",Biology Methods and Protocols,Oxford University Press,"['Biochemistry, Genetics and Molecular Biology (all)', 'Agricultural and Biological Sciences (all)']","['AGRI', 'BIOC']",Article,0,36.0,2018
